now_time,trils,duration,0_Nose,,,1_Neck,,,2_RShoulder,,,3_RElbow,,,4_RWrist,,,5_LShoulder,,,6_LElbow,,,7_LWrist,,,8_MidHip,9_RHip,,,10_RKnee,,,11_RAnkle,,,12_LHip,,,13_LKnee,,,14_LAnkle,,,15_REye,,,16_LEye,,,17_REar,18_LEar,,,19_LBigToe,,,20_LSmallToe,,,21_LHeel,,,22_RBigToe,,,23_RSmallToe,,,24_RHeel,,,25_Background,,,26_A_Lneck,27_A_Lshoulder,28_A_Lelbow,29_A_Lhip,30_A_Lknee,31_A_Rneck,32_A_Rshoulder,33_A_Relbow,34_A_Rhip,35_A_Rknee,36_A_middle_left_neck
2023:03:01:20:04:27,down_150_1t_,0.5296292304992676,0.0,0.0,0.0,0.55030626,0.38327017,0.7314476,0.32636976,0.3992021,0.6860694,0.22445564,0.733991,0.3740777,0.0,0.0,0.0,0.7700994,0.35712907,0.617519,0.92710817,0.6450524,0.3652061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.00,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023:03:01:20:04:27,down_150_1t_,0.6084537506103516,0.0,0.0,0.0,0.5502062,0.3831398,0.732686,0.32635695,0.3991706,0.68723404,0.22446781,0.7288796,0.36823052,0.0,0.0,0.0,0.77001506,0.35696405,0.62638247,0.9270923,0.64494216,0.36586985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.00,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023:03:01:20:04:27,down_150_1t_,0.6673035621643066,0.0,0.0,0.0,0.5501415,0.37796485,0.7444417,0.3264052,0.39903873,0.7147099,0.2166448,0.7393094,0.4174447,0.0,0.0,0.0,0.770045,0.3570083,0.6273023,0.92710614,0.6449947,0.39816803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.00,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023:03:01:20:04:27,down_150_1t_,0.7261204719543457,0.0,0.0,0.0,0.55008364,0.3728227,0.7450314,0.32641095,0.39900944,0.71504205,0.21666355,0.7392072,0.42463505,0.0,0.0,0.0,0.7699758,0.35197976,0.6338404,0.9270178,0.6449344,0.41752437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.00,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023:03:01:20:04:27,down_150_1t_,0.7879612445831299,0.0,0.0,0.0,0.55012196,0.3779203,0.74803704,0.3263998,0.399006,0.70946485,0.22059266,0.73395085,0.40440154,0.0,0.0,0.0,0.77000505,0.35693774,0.6418721,0.9269512,0.64508784,0.4091264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.00,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023:03:01:20:04:27,down_150_1t_,0.8478062152862549,0.0,0.0,0.0,0.55013067,0.37281296,0.74779826,0.32644346,0.39892045,0.7118642,0.21664163,0.7341165,0.43039578,0.0,0.0,0.0,0.7699702,0.3519999,0.6507889,0.9269727,0.6450184,0.43437824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.00,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023:03:01:20:04:27,down_150_1t_,0.906653881072998,0.0,0.0,0.0,0.5501558,0.37283787,0.74448234,0.32646137,0.39892244,0.7081287,0.21667704,0.7340539,0.43797633,0.0,0.0,0.0,0.7699544,0.35199618,0.6503432,0.92696375,0.6450739,0.4289059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.00,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023:03:01:20:04:27,down_150_1t_,0.9704887866973877,0.0,0.0,0.0,0.5464619,0.37269685,0.75639194,0.32641834,0.39887744,0.7105944,0.2166917,0.7339696,0.44209173,0.0,0.0,0.0,0.76620305,0.35193184,0.6565787,0.92694646,0.65016377,0.40708748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.00,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023:03:01:20:04:27,down_150_1t_,1.0363543033599854,0.0,0.0,0.0,0.55011207,0.37273422,0.74620974,0.32643336,0.39886123,0.7013568,0.2205702,0.72885364,0.43331522,0.0,0.0,0.0,0.76997775,0.35692096,0.6446297,0.9269528,0.6451282,0.39722776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.00,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023:03:01:20:04:27,down_150_1t_,1.0961909294128418,0.0,0.0,0.0,0.5501272,0.37281656,0.7388986,0.32642308,0.39892936,0.70468813,0.22056726,0.7288354,0.422521,0.0,0.0,0.0,0.77001536,0.356947,0.63959706,0.9269646,0.6501466,0.40354615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.00,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
