now_time,trils,duration,0_Nose,,,1_Neck,,,2_RShoulder,,,3_RElbow,,,4_RWrist,,,5_LShoulder,,,6_LElbow,,,7_LWrist,,,8_MidHip,9_RHip,,,10_RKnee,,,11_RAnkle,,,12_LHip,,,13_LKnee,,,14_LAnkle,,,15_REye,,,16_LEye,,,17_REar,18_LEar,,,19_LBigToe,,,20_LSmallToe,,,21_LHeel,,,22_RBigToe,,,23_RSmallToe,,,24_RHeel,,,25_Background,,,26_A_Lneck,27_A_Lshoulder,28_A_Lelbow,29_A_Lhip,30_A_Lknee,31_A_Rneck,32_A_Rshoulder,33_A_Relbow,34_A_Rhip,35_A_Rknee,36_A_middle_left_neck
2023:03:01:16:53:09,up_90_1t_,0.5461266040802002,0.54241306,0.39869538,0.9617557,0.54616165,0.4410894,0.92711455,0.49533993,0.4410364,0.8955152,0.44421366,0.4460579,0.86807626,0.39317393,0.4460488,0.9089651,0.5855158,0.44102758,0.913577,0.6406376,0.4409206,0.91525644,0.6993141,0.43558112,0.9022253,0.54233223,0.60318005,0.9053758,0.5149849,0.60316986,0.9291849,0.5149901,0.70786995,0.88639,0.5150984,0.8122931,0.9485147,0.5581081,0.6031819,0.8677218,0.5698835,0.7027007,0.8584107,0.5776176,0.8122563,0.91420156,0.534558,0.39348072,0.906576,0.5464498,0.39347282,0.96177125,0.5226962,0.39377773,0.6326133,0.55808264,0.39385134,0.9040726,0.5816395,0.8386528,0.8702568,0.5934555,0.82306933,0.83877766,0.5736567,0.81763256,0.8364802,0.51473165,0.8386496,0.8744631,0.49525076,0.82816744,0.88204527,0.51904666,0.8126456,0.8893624,-1.00,177.34986581223106,-1,-1,-1,-1,177.13151013689068,-1,-1,-1,-1
2023:03:01:16:53:09,up_90_1t_,0.6219170093536377,0.5423261,0.3939663,0.94934285,0.5461665,0.44108415,0.9278093,0.49535033,0.44104502,0.89925575,0.44039467,0.4460831,0.8559086,0.3932041,0.44611385,0.8951374,0.58549464,0.44100973,0.9142091,0.6406623,0.44092143,0.90910035,0.6993015,0.43556747,0.9031664,0.5423431,0.6031384,0.9045049,0.51500416,0.6031373,0.92699504,0.51500076,0.7078225,0.8875911,0.5186561,0.81228405,0.9501407,0.5580957,0.60314095,0.86493456,0.5698374,0.7026395,0.8605516,0.5776113,0.8074321,0.91677403,0.53069246,0.39347264,0.8997798,0.5463915,0.39345762,0.95823884,0.5190818,0.3938233,0.5145201,0.5580378,0.39383045,0.9119195,0.5816298,0.8386409,0.8708478,0.5934464,0.8230647,0.8402455,0.5736613,0.81762844,0.840011,0.5147637,0.83361983,0.87668186,0.4952843,0.8232538,0.8830245,0.51905966,0.81264025,0.89052,-1.00,177.37060663297467,-1,-1,-1,-1,177.11500176210154,-1,-1,-1,-1
2023:03:01:16:53:09,up_90_1t_,0.6803145408630371,0.54227567,0.3938927,0.9449537,0.5461684,0.4410499,0.93441886,0.49922067,0.44094643,0.9029254,0.4480946,0.441098,0.8830133,0.3931379,0.44087484,0.9276735,0.5817687,0.44096443,0.92513627,0.6406208,0.4409406,0.9204318,0.6992448,0.43530625,0.8770819,0.5423166,0.6030862,0.9007151,0.51499355,0.6030661,0.9277038,0.5150186,0.70273435,0.8938564,0.5186838,0.81231594,0.9529624,0.5580454,0.6030989,0.8687772,0.5698609,0.702601,0.8667744,0.57760954,0.8074261,0.91659105,0.5306312,0.39342058,0.8976072,0.54635346,0.3934093,0.9554353,0.5190543,0.3938653,0.43766785,0.5580577,0.3938708,0.9286913,0.5815985,0.83864945,0.87736046,0.5934036,0.82307714,0.844554,0.57367224,0.81762594,0.8385233,0.51474214,0.8386463,0.874878,0.49528518,0.8281705,0.87993366,0.5227155,0.8126749,0.8909823,-1.00,177.38006924962838,-1,-1,-1,-1,179.91238268667774,-1,-1,-1,-1
2023:03:01:16:53:09,up_90_1t_,0.7401838302612305,0.5422881,0.39387327,0.9458915,0.54616094,0.44104692,0.93402314,0.49920633,0.44093755,0.903264,0.44429854,0.44105747,0.87745965,0.3894707,0.44088617,0.9189024,0.5817611,0.44093668,0.92512167,0.6406273,0.4409017,0.9215364,0.69925416,0.43530568,0.87185496,0.5423252,0.6030865,0.90319556,0.5149961,0.60305804,0.9286257,0.5150251,0.7027434,0.893831,0.51867795,0.8123268,0.9539368,0.5580668,0.6031058,0.86869013,0.5698545,0.7025826,0.8668408,0.5776102,0.8073851,0.91260433,0.53065413,0.3934046,0.89482707,0.5463614,0.3933994,0.95421815,0.519061,0.39386716,0.4781313,0.5580448,0.39387974,0.92828226,0.58158845,0.8335845,0.8732948,0.5934132,0.82303107,0.84424764,0.57366085,0.81759894,0.8326242,0.5147491,0.83864343,0.8738082,0.49530947,0.8232557,0.8770211,0.5227043,0.81268615,0.8912405,-1.00,177.4335483674366,-1,-1,-1,-1,179.89336370829045,-1,-1,-1,-1
2023:03:01:16:53:09,up_90_1t_,0.8030178546905518,0.5422994,0.39385712,0.946922,0.546165,0.4410389,0.9353998,0.49920645,0.44093186,0.9032658,0.44430915,0.4410537,0.8820599,0.39309287,0.44087917,0.91840005,0.58177537,0.44094098,0.9245524,0.64062124,0.44091165,0.9190833,0.6992326,0.4304751,0.86428535,0.542337,0.6030752,0.9029794,0.51499766,0.6030453,0.9266517,0.51503325,0.7027441,0.89426225,0.51867205,0.81233025,0.9545898,0.5580993,0.60309553,0.86420965,0.5698651,0.70259404,0.86635476,0.5776059,0.8073856,0.9121736,0.5306578,0.3933902,0.8930007,0.54636955,0.38857004,0.9523177,0.5190611,0.3938644,0.48932046,0.5580573,0.39386207,0.92530817,0.5815847,0.8335908,0.8734076,0.593407,0.82303685,0.84416324,0.5736547,0.8176008,0.8329747,0.514755,0.8386453,0.87483823,0.49529505,0.8281698,0.8761068,0.5226955,0.81269187,0.89025265,-1.00,175.06573837906376,-1,-1,-1,-1,179.89783489775684,-1,-1,-1,-1
2023:03:01:16:53:09,up_90_1t_,0.8658468723297119,0.5423885,0.39380127,0.9571984,0.54616076,0.4410175,0.9392441,0.49926198,0.4409258,0.89710987,0.44807318,0.4410445,0.8908156,0.3931538,0.44088912,0.91148365,0.5817418,0.4409129,0.92855763,0.6405828,0.44086805,0.92224735,0.6954508,0.43043935,0.85409963,0.5423522,0.6030052,0.90105844,0.5150199,0.602979,0.92478865,0.5150522,0.70268023,0.89997214,0.5186789,0.8123234,0.95444816,0.5581056,0.6030273,0.861082,0.5698699,0.702542,0.8704556,0.5776118,0.8073914,0.9129564,0.53452176,0.38854626,0.89317685,0.5464298,0.38851655,0.94955146,0.5227087,0.3938281,0.60069394,0.5580915,0.39385474,0.9190781,0.58159715,0.8336098,0.8775156,0.5934259,0.8230486,0.8456186,0.57366306,0.81761223,0.832214,0.5147548,0.83864,0.8764562,0.49530873,0.8232549,0.8776298,0.5227048,0.8126905,0.88806534,-1.00,174.90587313880258,-1,-1,-1,-1,179.90777890596206,-1,-1,-1,-1
2023:03:01:16:53:09,up_90_1t_,0.9272871017456055,0.5424087,0.39377576,0.95892346,0.54615086,0.44103193,0.93983513,0.49925286,0.4409261,0.8988155,0.4480869,0.44107726,0.8883826,0.39315888,0.4409012,0.9129641,0.58173215,0.44093683,0.9303148,0.6406092,0.44084007,0.91815513,0.6955009,0.43046516,0.85829246,0.5423436,0.60298157,0.89876246,0.51501,0.60294473,0.9224045,0.51506925,0.70261496,0.9047387,0.5186822,0.81227183,0.95131683,0.5580979,0.6030115,0.8621548,0.5698887,0.7025555,0.8687028,0.57760125,0.8073701,0.9114,0.5345487,0.38850904,0.8900989,0.5464481,0.3884978,0.9472455,0.5227061,0.39378846,0.6466137,0.55806726,0.3938718,0.9149956,0.5816187,0.8335794,0.87412196,0.5934608,0.8230164,0.8441705,0.57363147,0.81758064,0.82994914,0.5147907,0.83357966,0.87692297,0.49532062,0.8232283,0.88006276,0.52270037,0.8126398,0.88688755,-1.00,174.89425080171856,-1,-1,-1,-1,179.8841641451418,-1,-1,-1,-1
2023:03:01:16:53:09,up_90_1t_,0.9871273040771484,0.5424286,0.39377806,0.96109563,0.54614246,0.44101688,0.94054615,0.49922884,0.4409177,0.901736,0.44808698,0.44107786,0.88534933,0.39320824,0.440902,0.90715456,0.58171993,0.4409239,0.9327169,0.6405948,0.44086054,0.9171199,0.69549084,0.43043056,0.85781074,0.5423292,0.60296404,0.8954048,0.51499754,0.6029332,0.92129475,0.5150496,0.7026258,0.9021818,0.5186786,0.8122872,0.9513728,0.55807513,0.6029841,0.86087656,0.56987596,0.697598,0.871981,0.5776107,0.80736303,0.9115702,0.5345703,0.3885095,0.89093715,0.54645956,0.38849747,0.9463616,0.52272,0.3937734,0.663309,0.5580679,0.39386094,0.91325057,0.5816401,0.83355856,0.8740436,0.59725916,0.8230212,0.84423566,0.5736385,0.8175884,0.82840085,0.51479506,0.83359295,0.8797214,0.49532598,0.82323736,0.8815085,0.52269554,0.81266004,0.88489807,-1.00,174.88013877842545,-1,-1,-1,-1,179.8873564455516,-1,-1,-1,-1
2023:03:01:16:53:10,up_90_1t_,1.0509560108184814,0.54245067,0.39379194,0.9641178,0.54615647,0.4410161,0.9417274,0.49924886,0.44092008,0.89973545,0.44810736,0.44106507,0.8939496,0.39321688,0.4409121,0.90491223,0.58175004,0.4409347,0.9298915,0.6406154,0.44088113,0.92105013,0.69549423,0.43044737,0.85905063,0.5423359,0.6029659,0.89551246,0.5149967,0.6029306,0.91903377,0.5150453,0.70264107,0.90207434,0.51867926,0.81232023,0.9553664,0.55809385,0.6029903,0.85901266,0.56989574,0.7025227,0.8724203,0.57760847,0.80735785,0.9101105,0.5345898,0.3885252,0.8927707,0.54647326,0.38850257,0.945671,0.52273196,0.39377648,0.6716503,0.5580943,0.3938517,0.9072081,0.581644,0.8335633,0.8723903,0.5972661,0.8230244,0.84212154,0.57363325,0.81758267,0.8261478,0.5147652,0.8386413,0.8820784,0.4953034,0.82817554,0.8828758,0.52269965,0.81269157,0.8859286,-1.00,174.86323421888736,-1,-1,-1,-1,179.88702766543034,-1,-1,-1,-1
2023:03:01:16:53:10,up_90_1t_,1.1104085445404053,0.54245067,0.39379194,0.9641178,0.54615647,0.4410161,0.9417274,0.49924886,0.44092008,0.89973545,0.44810736,0.44106507,0.8939496,0.39321688,0.4409121,0.90491223,0.58175004,0.4409347,0.9298915,0.6406154,0.44088113,0.92105013,0.69549423,0.43044737,0.85905063,0.5423359,0.6029659,0.89551246,0.5149967,0.6029306,0.91903377,0.5150453,0.70264107,0.90207434,0.51867926,0.81232023,0.9553664,0.55809385,0.6029903,0.85901266,0.56989574,0.7025227,0.8724203,0.57760847,0.80735785,0.9101105,0.5345898,0.3885252,0.8927707,0.54647326,0.38850257,0.945671,0.52273196,0.39377648,0.6716503,0.5580943,0.3938517,0.9072081,0.581644,0.8335633,0.8723903,0.5972661,0.8230244,0.84212154,0.57363325,0.81758267,0.8261478,0.5147652,0.8386413,0.8820784,0.4953034,0.82817554,0.8828758,0.52269965,0.81269157,0.8859286,-1.00,174.86323421888736,-1,-1,-1,-1,179.88702766543034,-1,-1,-1,-1
