now_time,trils,duration,left_shoulder,right_shoulder,left_knee,right_neck,0_Nose,,,1_Neck,,,2_RShoulder,,,3_RElbow,,,4_RWrist,,,5_LShoulder,,,6_LElbow,,,7_LWrist,,,8_MidHip,9_RHip,,,10_RKnee,,,11_RAnkle,,,12_LHip,,,13_LKnee,,,14_LAnkle,,,15_REye,,,16_LEye,,,17_REar,18_LEar,,,19_LBigToe,,,20_LSmallToe,,,21_LHeel,,,22_RBigToe,,,23_RSmallToe,,,24_RHeel,,,25_Background,,,26_A_Lneck,27_A_Lshoulder,28_A_Lelbow,29_A_Lhip,30_A_Lknee,31_A_Rneck,32_A_Rshoulder,33_A_Relbow,34_A_Rhip,35_A_Rknee,36_A_middle_left_neck
2023:03:04:15:20:01,up_120_2t_,0.538559675,122.78,128.27,176.89,85.36,0.54239494,0.3988906,0.95417786,0.54612255,0.44618937,0.91385645,0.49916446,0.4460817,0.8645553,0.45194364,0.41462085,0.8656805,0.40886864,0.36766,0.7936685,0.58150184,0.44606593,0.94030726,0.632629,0.4303167,0.8537258,0.6719929,0.39366412,0.9122823,0.5384633,0.6081609,0.90868723,0.5147968,0.6033462,0.94525945,0.51483583,0.72361636,0.92094207,0.5148727,0.8177977,0.9447759,0.5542827,0.6082362,0.90584177,0.55817115,0.7285348,0.8899713,0.56593287,0.818011,0.87823844,0.5306013,0.39375618,0.919725,0.54640716,0.39367586,0.97509277,0.51878405,0.39897892,0.8670507,0.55428725,0.39888003,0.8756538,0.5775902,0.8545861,0.8675699,0.5854991,0.8541928,0.8633701,0.554292,0.8282854,0.8020511,0.5148694,0.8541684,0.892401,0.49534574,0.8440059,0.8148087,0.51872927,0.82301784,0.8232049,,,,,,,,,,
2023:03:04:15:20:01,up_120_2t_,0.620341301,122.78,128.27,176.89,85.36,0.54239494,0.3988906,0.95417786,0.54612255,0.44618937,0.91385645,0.49916446,0.4460817,0.8645553,0.45194364,0.41462085,0.8656805,0.40886864,0.36766,0.7936685,0.58150184,0.44606593,0.94030726,0.632629,0.4303167,0.8537258,0.6719929,0.39366412,0.9122823,0.5384633,0.6081609,0.90868723,0.5147968,0.6033462,0.94525945,0.51483583,0.72361636,0.92094207,0.5148727,0.8177977,0.9447759,0.5542827,0.6082362,0.90584177,0.55817115,0.7285348,0.8899713,0.56593287,0.818011,0.87823844,0.5306013,0.39375618,0.919725,0.54640716,0.39367586,0.97509277,0.51878405,0.39897892,0.8670507,0.55428725,0.39888003,0.8756538,0.5775902,0.8545861,0.8675699,0.5854991,0.8541928,0.8633701,0.554292,0.8282854,0.8020511,0.5148694,0.8541684,0.892401,0.49534574,0.8440059,0.8148087,0.51872927,0.82301784,0.8232049,,,,,,,,,,
2023:03:04:15:20:01,up_120_2t_,0.682176113,124.01,120.12,176.38,89.87,0.546249,0.39884043,0.98114645,0.54619515,0.44622877,0.91302663,0.50313014,0.44608098,0.8599308,0.45210436,0.41474542,0.86558616,0.40897843,0.38830665,0.81002486,0.5815876,0.4461647,0.9191994,0.63642824,0.41472927,0.78742355,0.6720181,0.38832885,0.8671586,0.54232675,0.6033877,0.9173633,0.5149237,0.6032933,0.93942255,0.51482713,0.72355396,0.9119695,0.51487243,0.8178323,0.9417394,0.5619765,0.60819,0.87880206,0.56975037,0.7286547,0.8839483,0.5698668,0.8229494,0.8644652,0.53845984,0.39365736,0.92324054,0.55022997,0.393678,0.96680284,0.5190034,0.39888877,0.84871507,0.5659032,0.3989412,0.8505932,0.5776556,0.8546156,0.83518875,0.5854962,0.8542747,0.85378414,0.55815893,0.83350164,0.77733725,0.5148364,0.85416615,0.85987496,0.4953092,0.8439878,0.79693484,0.5187388,0.82306546,0.82452285,,,,,,,,,,
2023:03:04:15:20:01,up_120_2t_,0.740021229,123.95,120.15,179.56,89.85,0.5462186,0.3988497,0.9786076,0.54618955,0.4462105,0.9141537,0.5031307,0.44607133,0.85905236,0.45213124,0.41979554,0.86875904,0.40899,0.38834828,0.8182857,0.5815741,0.44613457,0.92134285,0.6364677,0.41468674,0.7927628,0.6720336,0.38832858,0.8640868,0.5423286,0.6081293,0.9171223,0.5149302,0.603302,0.93942297,0.5148187,0.7235717,0.9147707,0.5148636,0.81788456,0.9377282,0.5619724,0.6082002,0.8780902,0.5660009,0.7287056,0.8894986,0.5698775,0.8230021,0.8627753,0.53841835,0.39367107,0.92183757,0.5501999,0.39367697,0.9682344,0.51897264,0.3988897,0.85228145,0.5658815,0.39891726,0.8510508,0.5776647,0.85464483,0.8316979,0.5855119,0.8543051,0.8527809,0.5581756,0.8335793,0.7743023,0.5148099,0.85421085,0.85944295,0.4952854,0.84403294,0.79686517,0.5187383,0.8231312,0.82363254,,,,,,,,,,
2023:03:04:15:20:01,up_120_2t_,0.801704407,123.93,120.16,179.55,89.83,0.5461808,0.3988524,0.9735795,0.5461799,0.44621685,0.9134889,0.50315624,0.446088,0.8579709,0.45215544,0.41982007,0.8748701,0.40899396,0.38834524,0.8172724,0.5815438,0.446135,0.92238814,0.632718,0.41477045,0.791039,0.6720006,0.38834724,0.8668131,0.54234076,0.6081519,0.9206002,0.5149361,0.60332763,0.9419974,0.5148176,0.72361267,0.9214645,0.5148371,0.81790584,0.9386423,0.561985,0.60821384,0.88035583,0.5659859,0.7286992,0.8924887,0.56985754,0.82300675,0.86473465,0.53837246,0.3936728,0.9193345,0.5501701,0.39368713,0.96855634,0.5189427,0.39889595,0.84714544,0.56206733,0.39894632,0.85072124,0.57764065,0.8546493,0.83320177,0.5854816,0.85431755,0.85764146,0.5581702,0.83357805,0.7806025,0.5147501,0.8542233,0.86219335,0.49522454,0.84403735,0.8060334,0.5187253,0.8231706,0.8259469,,,,,,,,,,
2023:03:04:15:20:01,up_120_2t_,0.865533829,123.89,121.35,176.36,89.87,0.5461823,0.3988195,0.9752751,0.54614043,0.446214,0.9125765,0.50307846,0.4460749,0.85682166,0.45205554,0.41472867,0.8733006,0.40509662,0.38316905,0.79414093,0.58150864,0.44614685,0.9223351,0.6326379,0.41988197,0.79296637,0.672,0.38841054,0.87803376,0.5423212,0.6082453,0.9169813,0.5149073,0.60819644,0.93917835,0.5148002,0.72363585,0.91934603,0.514842,0.8179241,0.9354048,0.56196517,0.6082963,0.8779453,0.56975734,0.7287382,0.8909606,0.5698594,0.82303447,0.8592964,0.53838915,0.39363277,0.92066056,0.5501715,0.39367858,0.9675672,0.5189313,0.39884314,0.8588892,0.5619947,0.39897686,0.8414731,0.57768005,0.85467577,0.8364214,0.58552796,0.85432506,0.8571616,0.5581336,0.8335948,0.77528363,0.5147644,0.8542432,0.85732317,0.4952373,0.8490006,0.79740566,0.5187244,0.8231846,0.8219533,,,,,,,,,,
2023:03:04:15:20:01,up_120_2t_,0.927368402,123.83,123.47,176.35,89.88,0.5461678,0.39879987,0.97407573,0.54612404,0.446213,0.91047776,0.49928766,0.44606996,0.85683316,0.45204842,0.41473725,0.87134427,0.40891802,0.38322508,0.79968894,0.58148897,0.44613922,0.9228898,0.63261557,0.41995826,0.79476947,0.67199713,0.38849866,0.88296837,0.54232824,0.6082403,0.9181504,0.5149114,0.6081917,0.9405328,0.51480305,0.72361887,0.91911834,0.51485616,0.81790054,0.937827,0.5619768,0.60829204,0.8775947,0.5697686,0.72872984,0.8902972,0.56984544,0.8230326,0.8594416,0.538379,0.3936151,0.9207235,0.5501496,0.39366725,0.9690083,0.51892436,0.39881867,0.86312616,0.55818963,0.39898676,0.84329015,0.57766277,0.8546702,0.83683145,0.5855062,0.8543266,0.86035126,0.55812716,0.8335936,0.77623975,0.5147606,0.85421515,0.8554987,0.49523965,0.84403515,0.79769367,0.51873887,0.82315844,0.82323325,,,,,,,,,,
2023:03:04:15:20:01,up_120_2t_,0.987208843,123.84,123.47,179.6,89.93,0.5461732,0.39884782,0.97531664,0.5461263,0.4462105,0.9114776,0.4992514,0.4461094,0.85844904,0.45205885,0.41979504,0.86698616,0.40896496,0.38331494,0.80874246,0.5815076,0.44611531,0.927631,0.6326362,0.4198908,0.7960026,0.6720336,0.38846728,0.8765539,0.5423157,0.6082553,0.91826636,0.5148947,0.60820556,0.94240505,0.5148076,0.72365445,0.9202884,0.5148598,0.8179026,0.94090724,0.56196326,0.608302,0.8768279,0.56599617,0.7287584,0.8952849,0.56980664,0.82301724,0.86411273,0.5383713,0.39367664,0.9227097,0.5501339,0.39369622,0.9728882,0.51891255,0.3988516,0.88174385,0.55817366,0.39894822,0.83259284,0.5776481,0.85465765,0.8362974,0.5854955,0.85431063,0.861904,0.55810106,0.83355737,0.7875728,0.514752,0.8542335,0.86736965,0.49522823,0.84405184,0.8082433,0.518744,0.8231596,0.82656145,,,,,,,,,,
2023:03:04:15:20:01,up_120_2t_,1.050620556,123.88,122.37,172.1,85.46,0.5424369,0.39893198,0.9523151,0.54614145,0.4462435,0.9116474,0.49927709,0.44619069,0.8544663,0.45209622,0.41994876,0.87306744,0.4127832,0.38842863,0.82780284,0.5815073,0.44611782,0.9319508,0.63263506,0.41987965,0.7972958,0.67205095,0.38840708,0.8724861,0.5422794,0.60824746,0.91356516,0.51487666,0.60820276,0.9404188,0.51479965,0.7236299,0.9155675,0.51486933,0.817846,0.9463896,0.55815387,0.6082962,0.87962687,0.56974936,0.7286952,0.8938868,0.56601053,0.81806326,0.8689741,0.5344573,0.39377868,0.9155779,0.54646236,0.39373675,0.97091496,0.51884466,0.39900702,0.842096,0.5580992,0.39896488,0.8472246,0.5776113,0.85461956,0.848297,0.5818471,0.85423464,0.8677107,0.55431724,0.8283521,0.7980132,0.5147406,0.8542426,0.8751986,0.49150184,0.84405214,0.8152058,0.5187617,0.82308376,0.83605266,,,,,,,,,,
2023:03:04:15:20:01,up_120_2t_,1.112454176,123.9,121.28,172.07,85.28,0.5423143,0.39895472,0.9401327,0.5461398,0.44626984,0.91029894,0.4992554,0.4461931,0.85550845,0.45200133,0.41987348,0.8709384,0.40889654,0.38827577,0.8050478,0.5814921,0.44613922,0.93330365,0.63259816,0.41998604,0.79767025,0.67203796,0.38840035,0.87260425,0.54225105,0.6082732,0.90715283,0.514865,0.6082316,0.9380234,0.5148031,0.7236462,0.91340953,0.51487136,0.8178668,0.9449159,0.55810606,0.6083165,0.8810342,0.569755,0.72871774,0.8924575,0.5660029,0.81808054,0.8663805,0.5305436,0.39379534,0.91551816,0.5463832,0.39373946,0.9725469,0.51879287,0.39903107,0.7800217,0.5580201,0.3989679,0.8682815,0.5776095,0.85463655,0.84852785,0.5818425,0.85425854,0.86891484,0.5543104,0.82836777,0.795692,0.51475394,0.8542341,0.86823016,0.49523857,0.8440551,0.806132,0.5187538,0.823103,0.83529645,,,,,,,,,,
